No,Rule,Applies To,Refuse,Instead,Why
1,Default hero shape,landing;homepage,"Centred headline over centred subhead over two centred buttons, full-viewport height","Pick the hero from the page's job: a product needs the product visible, a service needs proof, an editorial page needs a first paragraph. Off-centre is allowed and usually better","It is the shape every model reaches for first, so a visitor has seen it a hundred times this month. Recognisable as machine-made before a word is read"
2,Three-card row,landing;features;services,"Three equal cards in a row, each an icon over a bold noun over two lines of grey text","Vary the count and weight — two cards where one matters more, four where they are peers, or a list where cards add nothing. Let one item be larger if it is more important","Three equal cards say every feature matters equally, which is never true, and the shape carries no information"
3,Purple to blue gradient,any,"#6366F1 to #8B5CF6 or any indigo-violet gradient as the default brand colour","Derive from the site's own brand. Where nothing exists, take the palette from the trade, not from fashion","It is the default of the tools, not of the site. A tour operator and a dentist end up identical"
4,Uniform section rhythm,any,"Every section on the same vertical padding, so the page reads as a stack of equal boxes","Vary the rhythm — tighter where content is dense, generous around the one thing that matters. Rhythm is how a page shows what it thinks is important","Equal spacing flattens hierarchy. The eye is given no reason to stop anywhere"
5,Full-bleed body text,any,"Paragraphs running the full width of a wide container","60-75 characters per line. Constrain the text, not the section","Long measures are measurably harder to read, and nothing says unconsidered faster than a 200-character line"
6,clamp() for font size,any,"font-size: clamp(1rem, 2vw, 2rem) or any viewport-scaled type",Use the site's own text tokens — ACSS var(--text-l, 20px) with a px or em fallback,House rule. Fluid type fights the design system the site already has and produces sizes nobody chose
7,Icon soup,features;services,"An icon above every heading, chosen for decoration rather than meaning","Use icons where they carry meaning — a payment method, a file type, a platform. Otherwise leave them out","Decorative icons add visual noise and no information, and generic icon sets are instantly recognisable"
8,Placeholder imagery as layout,any,"Grey boxes or stock-shaped placeholders used as structural elements","Design for the images the site actually has. Where there are none, use type, colour and space to carry the layout","A layout that only works once someone finds photographs is a layout that does not work"
9,Everything centred,any,"Centre alignment on headings, body, buttons and cards throughout","Left-align body text by default. Centre short things only — a single heading, a small call to action","Centred body text has ragged left edges that slow reading, and total symmetry reads as a template"
10,Shadow on everything,any,"A drop shadow on every card, button, input and section","Pick one elevation language and use it sparingly. Most surfaces need a border or a background shift, not a shadow","Shadows everywhere means depth nowhere. It is the fastest way to make a page look like a component demo"
11,Testimonial theatre,landing;homepage,"Three invented testimonials with placeholder avatars and five stars","Use real proof or none. One genuine quote beats three invented ones, and no proof beats fake proof","Fabricated social proof is a lie on the client's website, and readers recognise the shape"
12,Feature list as adjectives,features;pricing,"Fast. Secure. Reliable. Scalable. — single-word claims with no object","Say what it does for whom. A claim with a subject and an object is worth ten adjectives","Adjective lists are filler that survives because they are easy to generate, not because they persuade"
13,Emoji as iconography,any,"Emoji standing in for interface or feature icons","Use the site's icon set, or type. Emoji render differently on every platform and cannot be styled","It reads as a draft, and on a client's site it reads as carelessness"
14,Gradient text,any,"background-clip: text gradients on headings","Solid colour from the palette. Weight and size carry emphasis","Low contrast in practice, unreliable across browsers, and dated the moment it was everywhere"
15,Animation on scroll everywhere,any,"Every section fading and sliding in as it enters the viewport","Motion on one or two deliberate moments, respecting prefers-reduced-motion","Universal scroll animation delays every read and makes a page feel slower than it is"
16,Dark mode by inversion,any,"A dark theme made by flipping black and white","Build the dark palette properly — surfaces lighten with elevation, not by inverting, and colours need adjusting to hold contrast","Inverted palettes produce muddy greys and unreadable brand colours"
17,Fake dashboard screenshots,landing;saas,"Invented UI screenshots showing charts of nothing","Show the real product, or describe it in words. An abstract shape is more honest than a fabricated screen","A fabricated screenshot is a claim about a product that does not look like that"
18,Hero button pair,landing;homepage,"Get Started next to Learn More, every time","One primary action that names what happens. A secondary only where a genuine second path exists","Two generic buttons split attention and neither says where it goes"
19,Section headings that name the section,any,"Our Features. Our Services. Testimonials. FAQ.","Headings that carry the actual claim — what the features do, who the service is for","A label tells the reader nothing they could not see. It is a wasted line at the top of every section"
20,Identical card heights by cropping,any,"Forcing equal-height cards by truncating content with ellipses","Let content set the height, or edit the content until it fits honestly","Truncation hides the thing the card exists to say"
