No,Page Purpose,Keywords,Section Sequence,Hero Shape,Rhythm,Emphasis,Notes
1,Homepage — service business,"home;homepage;agency;studio;consultancy","Hero with proof;What we do (2-4, unequal);Selected work;How it works;Who it is for;Contact","Statement plus one credibility line. Left-aligned. Photograph or work sample beside it, not behind it","Tight through the middle, generous around work samples","Selected work — it is the argument","Trust comes from work shown, not adjectives. If there is no work to show, lead with the people"
2,Homepage — local trade,"plumber;electrician;dentist;salon;garage;restaurant;local","Hero with what and where;Services;Area covered;Proof;Hours and contact;Map","What you do and where, in one line. Phone number visible without scrolling","Even and calm — this reader is scanning for a phone number","Contact — everything else is context","A local visitor has one question and it is how to reach you. Do not bury it under storytelling"
3,Homepage — tour or hospitality,"tour;travel;hotel;experience;booking;restaurant","Hero image with the offer;What is included;Dates or availability;Gallery;Reviews;Book","Image-led, the place doing the selling. Overlay text only where the image supports it","Generous — imagery needs air","The booking action, present throughout","People buy the place. Give photography room and keep the booking path always reachable"
4,Homepage — ecommerce,"shop;store;ecommerce;products;woocommerce","Hero with the season or hero product;Categories;Featured products;Why buy here;Reviews;Newsletter","One product or collection, priced, with a real photograph","Dense — a shopper wants to see stock","Products, always","Nobody visits a shop for the brand story. Get to product within one screen"
5,Landing page — single offer,"landing;campaign;offer;lead;signup","Hero with the promise;The problem;How it works (3 steps);Proof;Objections;One action","The promise and the action, nothing else competing","Tightening toward the action","The single action, repeated three times at most","One page, one job. Every section either moves toward the action or gets deleted"
6,Pricing,"pricing;plans;subscription;tiers","Plan comparison;What is included;Frequent questions;Contact for the rest","No hero. Prices are what the visitor came for — start with them","Tight. A price page is a table, not a story","The plan you want them on — visually heavier, not just badged","Do not put a hero above prices. It delays the only thing on the page that matters"
7,About,"about;team;story;who we are","Who we are in one paragraph;The people;How we work;What we believe;Contact","A sentence, not a slogan. A real photograph of real people","Editorial — long-form rhythm, wide margins","The people","About pages fail by being abstract. Names and faces beat values statements"
8,Contact,"contact;get in touch;enquiry","How to reach us;Form;Where we are;Hours","No hero. The methods themselves are the content","Compact — one screen if possible","The fastest contact method for this business","Show every method and let the visitor pick. A form alone loses people who want to phone"
9,Blog index,"blog;articles;news;insights","Latest;By topic;Archive","Optional. A one-line description of what is written about here","Regular — a list wants consistency","The most recent post, larger than the rest","Indexes are for scanning. Titles and dates carry the weight, excerpts help, images rarely do"
10,Article,"post;article;single;blog post","Title and context;Body;Related","Title, date, author. Nothing else above the first paragraph","Reading rhythm — space between sections, not inside them","The text itself","Measure 60-75ch, generous line height, real headings. Everything else is decoration"
11,Service detail,"service;single service;what we do","What it is;Who it is for;What happens;What it costs;Next step","The service named plainly, and who it is for","Even, with the step sequence tighter","What happens — the part people are unsure about","Buyers of services want to know the process. Vagueness reads as hiding the price"
12,Portfolio or case study,"case study;project;work;portfolio","The work first;The brief;What we did;The result;Next project","The finished work, large, before any explanation","Image-led, generous","The work, then the result","Show before telling. A case study that opens with a brief is a document nobody finishes"
13,SaaS or app,"saas;app;software;platform;tool","What it does;The product itself;Key jobs;Pricing;Proof;Start","A sentence a customer would say, plus the real interface","Tight — this audience scrolls fast","The product surface","Show the actual product early. Abstract illustration delays understanding"
14,Course or LMS,"course;lms;learn;training;tutor","What you will learn;Curriculum;Who teaches it;Format and time;Price;Enrol","The outcome, not the topic. What you can do afterwards","Structured — a curriculum is a list and should look like one","The curriculum","Learners buy outcomes and want to see the full contents before paying"
15,Event,"event;conference;webinar;workshop","What, when, where;Speakers or agenda;Who it is for;Price and tickets;Location details","Name, date, place, in that order, visible immediately","Compact toward the top, roomier for agenda","Date and the ticket action","Time and place are the content. Anything above them is in the way"
16,Documentation,"docs;documentation;help;knowledge base","Search;Sections;Recently updated","No hero. Search and structure","Dense and consistent","Search","Docs are navigated, not read. Sidebar structure and search beat any landing treatment"
17,Membership or community,"membership;community;club;forum","What membership gives;Who is inside;How it works;Price;Join","The membership benefit in the members' own terms","Even, warm","The community itself — real members","People join people. Show who is already there"
18,Charity or nonprofit,"charity;nonprofit;donate;cause","The cause;The need;What we do;Where money goes;Donate","One human story or fact, and the donate action","Generous — this content needs room to land","Donate, present throughout","Specificity persuades. One person's story outperforms an aggregate figure"
19,Restaurant or menu,"menu;restaurant;cafe;food","Where and when;Menu;Photographs;Book a table;Find us","The place, photographed, with hours","Menu tight, imagery generous","The menu and the booking","People come for the menu and the address. Both must be reachable in one action"
20,Directory or listing,"directory;listing;marketplace;search","Search and filters;Results;How listing works","Search first. The hero is the query box","Dense results, calm chrome","Search and filters","A directory that opens with marketing wastes the visit. They came to look something up"
